key_resp.keys	key_resp.corr	tilt		hit	miss	falsealarm	corrrejection
up	1	0		1			
down	1	-1					1
down	1	-2					1
up	0	0			1		
up	1	0		1			
up	1	0		1			
down	1	-4					1
down	1	-5					1
up	1	0		1			
up	1	0		1			
down	1	2					1
up	1	0		1			
down	1	-4					1
up	1	0		1			
down	0	0			1		
up	1	0		1			
down	1	2					1
up	1	0		1			
up	1	0		1			
up	1	0		1			
down	1	3					1
up	1	0		1			
down	1	-5					1
up	1	0		1			
down	1	-3					1
up	1	0		1			
up	1	0		1			
down	1	-4					1
up	1	0		1			
down	1	-3					1
up	0	1				1	
up	1	0		1			
down	1	4					1
up	1	0		1			
up	1	0		1			
up	1	0		1			
down	1	-3					1
up	1	0		1			
up	1	0		1			
up	1	0		1			
up	1	0		1			
down	1	-3					1
up	1	0		1			
up	1	0		1			
up	1	0		1			
up	0	0			1		
up	1	0		1			
up	1	0		1			
down	1	3					1
down	1	-4					1
up	1	0		1			
down	1	-5					1
up	0	0			1		
up	1	0		1			
up	1	0		1			
down	1	3					1
up	1	0		1			
up	1	0		1			
up	0	1				1	
up	0	-3				1	
down	1	-3					1
down	1	-1					1
down	1	-4					1
down	1	-5					1
up	1	0		1			
up	1	0		1			
down	1	-1					1
up	0	4				1	
up	1	0		1			
down	1	-3					1
up	1	0		1			
up	1	0		1			
up	1	0		1			
up	1	0		1			
up	0	-1				1	
up	1	0		1			
up	0	-1				1	
up	1	0		1			
up	1	0		1			
up	0	0			1		
up	1	0		1			
up	1	0		1			
down	1	-4					1
up	0	-4				1	
down	0	0				1	
down	0	0				1	
down	1	-2					1
up	1	0		1			
up	1	0		1			
down	1	3					1
down	1	4					1
up	1	0		1			
down	1	-2					1
down	0	0			1		
up	0	-4				1	
up	1	0		1			
down	1	3					1
down	1	3					1
up	1	0		1			
up	1	0		1			
down	1	2					1
down	1	3					1
up	0	-2				1	
up	1	0		1			
up	1	0		1			
up	1	0		1			
up	1	0		1			
up	1	0		1			
down	1	4					1
up	1	0		1			
up	1	0		1			
up	1	0		1			
up	1	0		1			
down	1	2					1
up	1	0		1			
up	1	0		1			
down	1	-1					1
up	0	0			1		
up	1	0		1			
up	1	0		1			
up	1	0		1			
down	1	-4					1
up	1	0		1			
up	1	0		1			
up	1	0		1			
up	1	0		1			
up	1	0		1			
up	0	1				1	
down	1	-3					1
up	1	0		1			
down	1	4					1
down	1	-5					1
up	0	-1				1	
up	1	0		1			
down	1	-4					1
up	0	2				1	
up	0	0			1		
up	0	1				1	
up	1	0		1			
up	1	0		1			
down	1	-3					1
down	0	0			1		
up	0	-2				1	
up	0	0			1		
up	1	0		1			
down	1	-4					1
up	1	0		1			
down	1	3					1
down	1	-3					1
down	1	2					1
up	0	-3				1	
up	0	1				1	
down	1	2					1
up	1	0		1			
up	1	0		1			
up	1	0		1			
up	1	0		1			
up	1	0		1			
up	1	0		1			
down	1	4					1
up	1	0		1			
up	1	0		1			
up	1	0		1			
down	1	4					1
up	0	-1				1	
down	1	-3					1
up	1	0		1			
down	1	-3					1
up	1	0		1			
up	1	0		1			
up	1	0		1			
down	1	4					1
down	1	-3					1
up	1	0		1			
down	1	-2					1
up	1	0		1			
up	1	0		1			
up	1	0		1			
up	1	0		1			
up	0	-1				1	
down	1	-3					1
up	1	0		1			
down	1	2					1
up	1	0		1			
down	1	4					1
up	0	-1				1	
up	0	-3				1	
down	1	-4					1
up	1	0		1			
down	1	-5					1
down	1	-4					1
up	1	0		1			
up	1	0		1			
up	1	0		1			
up	0	1				1	
up	0	0			1		
up	1	0		1			
up	1	0		1			
up	1	0		1			
up	1	0		1			
			Total	105	11	23	61
							
							
							
				Response YES	Response NO		
			Signal PRESENT	105	11		
			Signal ABSENT	23	40		
							
			prop hit= hit/hit+miss	0.905172414			
			prop fa=fa/fa+cr	0.365079365			
			d-prime=z(prop hit)-z(prop fa)	-1.139142687			
			c=-z(prop hit)+z(prop fa)/2	-1.48405708			
